"loc_rowid","kepid","tce_plnt_num","tce_period","tce_time0bk","tce_impact","tce_duration","tce_depth","tce_model_snr","av_training_set"
11393,"07381616",1,0.792133,132.26,0.9,2.328,72.68,2.487,"UNK"
11394,"07381695",1,0.948674,131.9,0.5171,1.557,163.2,13.1,"UNK"
11395,"07381977",1,0.773837,131.924,0.05219,5.912,46.73,15.02,"UNK"
11396,"07382099",1,0.592419,131.655,0.1,1.5,629,-1,"UNK"
11397,"07382313",1,7.42695,133.105,0.03762,3.304,199.5,14.69,"PC"
11398,"07431838",4,3.03708,131.998,0.8982,2.03,30.93,14.14,"AFP"
11399,"07431838",5,1.01232,131.837,0.7027,3.396,15.56,12.19,"NTP"
11400,"07431838",6,0.607398,131.93,0.1,2,154.6,-1,"UNK"
11401,"07431887",1,530.699,183.636,0.2729,14.55,577.4,5.948,"NTP"
11402,"07455914",2,1.69833,131.57,0.3,5.998,274.1,12.75,"AFP"
11403,"07455981",1,14.454,135.456,0.8991,7.149,76.18,14.64,"PC"
11404,"07456001",1,40.0686,151.809,0.7108,6.054,1004,50.65,"PC"
11405,"07456441",1,1.19597,131.956,0.9889,2.22,229.1,15.07,"AFP"
11406,"07467518",2,1.71174,133.01,0.9246,3.869,50.94,8.654,"AFP"
11407,"07467518",3,1.71183,131.764,0.02618,4.791,63.77,10.26,"AFP"
11408,"07467518",4,68.0431,191.108,0.8384,3.795,602.3,8.033,"UNK"
11409,"07467539",1,0.980128,132.356,0.09209,5.064,37.6,13.75,"NTP"
11410,"07522911",1,20.4998,131.822,0.25,5.657,474,19.39,"PC"
11411,"07523115",1,1.19293,131.639,0.8863,3.831,16.89,12.93,"NTP"
11412,"07523340",1,4.90866,131.755,0.4983,14.92,40.73,11.03,"AFP"
11413,"07523340",2,4.90796,134.083,0.0382,7.92,24.42,7.792,"AFP"
11414,"07548479",3,1.77159,132.466,0.9378,4.931,43.82,12.92,"UNK"
11415,"07549209",1,27.5074,151.839,0.7664,5.337,628.6,30.05,"PC"
11416,"07549389",1,18.4719,149.525,0.7065,14.54,48.62,8.04,"AFP"
11417,"07592922",1,2.15886,131.985,0.4664,1.887,94.9,9.452,"UNK"
11418,"07593110",1,3.54939,134.246,0.8985,2.453,51260,1263,"AFP"
11419,"07593110",2,3.54941,132.46,0.9451,2.26,2086,71.76,"AFP"
11420,"07595157",1,3.38354,132.421,0.2751,1.365,269.6,37.61,"PC"
11421,"07620660",1,5.36661,134.849,0.5083,5.169,919,41,"AFP"
11422,"07620660",2,0.683697,131.622,0.7049,2.21,109.7,10.69,"AFP"
11423,"07620801",1,695.78,195.398,0.7221,14.14,204.2,3.804,"NTP"
11424,"07620844",1,58.6216,178.568,1,8.633,273800,2099,"AFP"
11425,"07658796",1,5.38243,132.965,0.246,14.74,36.96,8.746,"AFP"
11426,"07658796",2,5.38251,135.593,0.7341,17.15,43,12.17,"AFP"
11427,"07658882",1,0.677045,131.613,0.8758,2.461,40.22,11.3,"UNK"
11428,"07658925",1,0.854645,131.553,0.702,2.855,16.18,5.877,"AFP"
11429,"07673841",3,7.87855,138.585,0.684,3.181,49.02,9.665,"PC"
11430,"07674050",1,472.227,363.714,0.8959,4.848,157800,701.4,"AFP"
11431,"07674265",1,1.14443,131.877,0.1039,3.452,36.64,9.806,"UNK"
11432,"07676423",1,2.46051,133.613,0.6881,1.959,284.5,16.51,"PC"
11433,"07700033",2,0.782981,132.161,0.5003,1.514,13.96,11.34,"AFP"
11434,"07700500",1,4.60697,133.863,0.9014,2.334,270.5,9.702,"UNK"
11435,"07700561",1,1.50708,132.097,0.8984,1.815,321.6,32.4,"AFP"
11436,"07700578",1,1.50702,132.165,0.1,3.5,459600,-1,"AFP"
11437,"07739152",1,459.256,260.342,0.7932,4.7,372.2,5.318,"NTP"
11438,"07739172",1,6.40131,134.769,0.0588,10.16,15.32,9.471,"AFP"
11439,"07739172",2,6.39843,134.104,0.2847,16.28,13.84,9.535,"AFP"
11440,"07741048",1,0.843389,131.582,0.4216,1.405,21.21,10.74,"UNK"
11441,"07765374",1,4.40803,133.933,0.1785,7.777,46.69,10.01,"AFP"
11442,"07765374",2,4.40821,132.919,0.3,6.213,52.08,12.02,"AFP"
11443,"07765528",1,7.03931,133.856,0.9495,3.315,844,44.63,"PC"
11444,"07778108",2,2.47127,132.781,0.9424,5.35,68.89,9.145,"AFP"
11445,"07778108",3,2.47136,131.537,0.3945,5.696,67.28,8.542,"AFP"
11446,"07778427",1,5.38296,136.242,0.2804,3.154,36.17,10.84,"PC"
11447,"07337049",1,4.87079,132.344,0.9718,10.66,535.5,12.01,"AFP"
11448,"07337049",2,4.87136,136.047,0.09994,15,166.6,6.781,"AFP"
11449,"07338125",1,0.956629,131.991,0.02113,7.274,0.3772,0.993,"NTP"
11450,"07344999",1,0.706242,132.019,0.5069,2.338,23.96,9.028,"AFP"
11451,"07366036",1,0.566808,131.787,0.1,1.409,21.51,23.06,"NTP"
11452,"07366065",1,0.566801,131.795,0.4363,0.9002,44.48,10.47,"NTP"
11453,"07366258",1,51.5405,174.046,0.1519,6.501,3711,111.7,"PC"
11454,"07366258",2,26.4444,141.231,0.9106,4.658,1879,69.23,"PC"
11455,"07383227",1,0.825772,131.814,0.8878,1.895,84.78,7.443,"UNK"
11456,"07383764",1,2.45711,131.606,0.8992,6.551,19.63,9.137,"AFP"
11457,"07383764",2,2.45717,133.256,0.521,7.178,18.62,9.861,"AFP"
11458,"07432548",1,4.09098,134.672,0.5857,18.06,5.833,10.47,"NTP"
11459,"07433279",1,1.9663,132.016,0.4974,5.815,26.82,8.251,"NTP"
11460,"07433585",1,0.545517,131.742,0.9427,0.5298,0.946,0.1236,"AFP"
11461,"07456441",2,1.19598,132.551,0.9776,2.592,284.7,20.02,"AFP"
11462,"07456521",1,552.83,484.259,0.1,9,294500,-1,"UNK"
11463,"07457278",1,12.6092,136.719,0.7122,15.27,32.11,9.211,"UNK"
11464,"07457296",1,3.97073,134.646,0.4234,1.78,310.4,21.48,"PC"
11465,"07470159",1,442.942,292.76,0.8712,13.31,246.6,5.109,"NTP"
11466,"07470491",1,441.231,296.148,0.8764,18.39,175.2,3.622,"NTP"
11467,"07499398",1,23.0203,150.604,0.7823,3.537,6016,99.6,"PC"
11468,"07523340",3,4.9082,133.767,0.6221,25.94,53.71,11.3,"AFP"
11469,"07523733",1,2.00656,133.268,0.9138,6.294,6.589,11.19,"UNK"
11470,"07523733",2,0.624276,131.812,0.008145,1.99,6.979,6.976,"UNK"
11471,"07549389",2,18.4701,146.521,0.679,15.94,49.72,8.582,"AFP"
11472,"07549852",1,0.562312,131.961,0.1,1.5,267.8,22.65,"AFP"
11473,"07549852",2,0.562312,131.68,0.1,1.5,232.5,18.7,"AFP"
11474,"07549852",3,1.28358,131.627,0.9813,1.802,121.8,2.886,"UNK"
11475,"07595157",2,2.35896,132.688,0.7017,1.613,101,18.08,"PC"
11476,"07595579",1,6.73235,136.579,0.7336,14.53,90.2,13.28,"NTP"
11477,"07595579",2,5.04898,134.801,0.8306,12.76,66.09,9.934,"NTP"
11478,"07620844",2,58.6216,151.694,0.9352,6.15,79580,683.7,"AFP"
11479,"07621172",1,0.592825,131.856,0.1405,1.467,50.77,20.45,"AFP"
11480,"07621172",2,0.592824,131.561,0.9016,1.304,44.47,17.93,"AFP"
11481,"07621172",3,0.732114,131.97,0.982,1.308,65.58,15.8,"AFP"
11482,"07621172",4,0.73225,132.188,0.1,2,109.7,-1,"AFP"
11483,"07658925",2,0.854816,132.155,0.965,1.876,43.87,9.569,"AFP"
11484,"07658925",3,1.70628,131.699,0.8965,5.728,11.27,3.794,"NTP"
11485,"07659389",1,3.8259,132.202,0.6941,1.533,877.6,27.44,"PC"
11486,"07659782",1,523.578,655.048,0.9643,9.967,165.1,5.956,"NTP"
11487,"07677005",1,38.0581,142.405,0.1,6,313100,-1,"AFP"
11488,"07677005",2,38.0581,134.58,0.8602,12.26,178600,4488,"AFP"
11489,"07677005",3,304.496,332.517,0.9981,29.16,22020,73.08,"NTP"
11490,"07678099",1,1.29815,132.496,0.1,4.559,33.05,10.06,"NTP"
11491,"07700578",2,1.5071,132.85,0.1,2.5,9867,-1,"AFP"
11492,"07700590",1,1.50712,132.085,0.9271,3.823,21540,1899,"AFP"
11493,"07700622",1,35.5812,153.478,0.7702,4.226,960.7,82.27,"PC"
11494,"07700871",1,2.58983,133.884,0.03865,2.472,144.6,80.19,"AFP"
11495,"07741837",1,4.12809,133.945,0.1171,8.525,53.95,11.84,"AFP"
11496,"07741837",2,4.1286,132.584,0.9,4.92,40.17,8.472,"AFP"
11497,"07741837",3,4.13006,135.045,0.9913,5.756,47,12.1,"AFP"
11498,"07765528",2,9.38917,134.413,0.3756,1.409,203.9,8.398,"UNK"
11499,"07765585",1,0.666521,131.673,0.9,2.162,21.52,4.915,"AFP"
11500,"07765585",2,4.26693,135.777,0.1057,7.192,130,9.409,"NTP"
11501,"07765585",3,0.666546,131.963,0.5031,2.657,71.56,11.13,"AFP"
11502,"07778437",1,5.01423,133.175,0.2869,4.618,6639,771.6,"PC"
